品牌,型号,颜色,价格,CPU,内存,电池容量,操作系统,摄影,好评率
华为,华为C5700,机身颜色星空黑色，闪银色，香槟金色  ,400,空,,800mAh,操作系统安卓,摄像头摄像头总数1像素30万像素传感器类型CMOS,8.3星
华为,华为G510（U8951/联通版）,机身颜色幻影黑，陶瓷白  ,600,CPU型号高通 骁龙Snapdragon MSM8225,后置摄像头1 4GB ,1700mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,6.3星
华为,华为T2010,机身颜色白色，黑色  ,300,空,64MB 128MB ,1050mAh,操作系统安卓,摄像头摄像头总数1像素130万像素传感器类型CMOS,7.6星
华为,华为U8655（Ascend Y200）,机身颜色黑色  ,停产,CPU型号高通 骁龙Snapdragon MSM7225A,高通 骁龙Snapdragon MS RAM容量 512MB ,1250mAh,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,无评价
华为,华为G8X（移动4G）,机身颜色金色，灰色  ,停产,CPU型号高通 骁龙615（MSM8939）,高通 骁龙615（MSM8939 RAM容量 16GB ,空,操作系统安卓,摄像头摄像头总数2像素1300万像素光圈后置摄像头1：前置摄像头1：传感器类型CMOS闪光灯LED补光灯（双）,8.7星
华为,华为Mate S（臻逸版/电信4G）,机身颜色极昼金，苍山灰，栖霞粉  ,2499,CPU型号海思kirin 935,3GB 64GB/128GB ,2700mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：800万像素传感器类型背照式/BSI CMOS闪光灯LED补光灯（双色温）其他摄像头参数前置补光灯，蓝宝石镜头,7.2星
华为,华为G521（移动4G）,机身颜色黑色  ,460,CPU型号Marvell 1L88,512MB 4GB ,2000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,6.6星
华为,华为U8110,机身颜色黑色，粉色  ,550,空,,1150mAh,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS闪光灯LED补光灯,8.4星
华为,华为Mate（1GB RAM/联通版）,机身颜色黑色，白色  ,1300,CPU型号海思 K3V2,1GB 8GB ,4050mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：100万像素传感器类型CMOS闪光灯LED补光灯,8.4星
华为,华为G520-T10（移动版）,机身颜色黑色，白色  ,800,CPU型号联发科 MT6589,512MB 4GB ,1700mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS闪光灯LED补光灯,5.5星
华为,华为G610S（联通版）,机身颜色白色  ,780,CPU型号联发科 MT6589M,1GB 4GB ,2150mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS闪光灯LED补光灯,8.1星
华为,华为Mate 7（MT7-CL00/高配版/电信4G）,机身颜色琥珀金色  ,1600,CPU型号海思 Kirin 925,3GB 32GB ,4100mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈后置摄像头1：前置摄像头1：后置视频拍摄）720p（1280×720，30帧/秒）视频录制（前置视频拍摄）传感器类型CMOS闪光灯LED补光灯,7.9星
华为,华为C8817E（电信4G）,机身颜色黑色，白色，蓝色，灰色  ,499,CPU型号高通 骁龙Snapdragon MSM8916,后置摄像头1 8GB ,2000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：200万像素传感器类型CMOS,8.7星
华为,华为畅享7（3GB RAM/移动全网通）,机身颜色香槟金，黑色，粉色，红色，蓝色，流光金  ,999,CPU型号高通 骁龙425（MSM8917）,后置摄像头1 32GB ,3020mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈后置摄像头1：前置摄像头1：后置拍照功能，全景自拍，HDR，有声照片，熄屏快拍，笑脸抓拍，声控拍照，定时拍照，触摸拍照，延时摄影，慢动作，前置补光，后置支持AF，PDAF自动对焦前置拍照功能支持全景自拍，FF自动对焦传感器类型CMOS闪光灯单色温LED补光灯,5.6星
华为,华为Ascend D2（D2-6070/移动TD-LTE版）,机身颜色晶石白色，锆石蓝色  ,1999,CPU型号海思K3V2,2GB 32GB ,3000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：130万像素传感器类型CMOS闪光灯LED补光灯,7.3星
华为,华为Ascend P6 S（16GB ROM/联通3G）,机身颜色黑色，白色，粉色  ,920,CPU型号海思 Kirin 910,2GB 16GB ,2000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：500万像素光圈传感器类型CMOS闪光灯LED补光灯,7.9星
华为,华为Ascend G330C（C8825D/4GB/电信版）,机身颜色白色，深咖啡色  ,810,CPU型号高通 骁龙Snapdragon MSM8625,后置摄像头1 4GB ,1500mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS闪光灯LED补光灯,7.0星
华为,华为Ascend G300（U8818）,机身颜色银白色，深锖色  ,880,CPU型号高通 骁龙Snapdragon MSM7227A,高通 骁龙Snapdragon MS RAM容量 4GB ,1350mAh,操作系统安卓,摄像头摄像头总数1像素500万像素传感器类型CMOS闪光灯LED补光灯,7.2星
华为,华为C5110,机身颜色黑色，白色，橙色  ,280,空,,800mAh,操作系统安卓,摄像头摄像头总数1像素130万像素传感器类型CMOS,8.0星
华为,华为Y5 Lite（全网通）,机身颜色灰色  ,停产,CPU型号联发科 MT6737,,空,操作系统安卓,摄像头传感器类型CMOS闪光灯LED补光灯,无评价
华为,华为C5730,机身颜色黑色，白色  ,430,空,64MB 128MB ,1000mAh,操作系统安卓,摄像头摄像头总数1像素130万像素,9.3星
华为,华为U626,机身颜色银色  ,停产,空,,空,操作系统安卓,摄像头像素30万像素,无评价
华为,华为S8600 Spark（火花）,机身颜色黑色，白色  ,920,CPU型号高通 骁龙Snapdragon MSM7627T,后置摄像头1 512MB ,2000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS闪光灯LED补光灯,6.0星
